prop,target,n_target,alpha,method,coverage,width_sd
n.tot,KSSL.SSL,19806,0.2,C2_k25,0.8117457987446851,1.8140108396155261
n.tot,KSSL.SSL,19806,0.2,C4t_k25,0.8225450496051832,1.2925246144230476
n.tot,KSSL.SSL,19806,0.2,C3n_k25,0.8308944118242559,1.2383231346555568
n.tot,KSSL.SSL,19806,0.2,C2_k50,0.7923618141324155,1.3701085214504745
n.tot,KSSL.SSL,19806,0.2,C4t_k50,0.7889350070864547,0.9127083145666052
n.tot,KSSL.SSL,19806,0.2,C3n_k50,0.8036874873456166,1.0306034446166275
n.tot,KSSL.SSL,19806,0.1,C0,0.6324989876493217,0.5861409282326924
n.tot,KSSL.SSL,19806,0.1,C0n,0.6044189107106701,0.5583206536016676
n.tot,KSSL.SSL,19806,0.1,C4,0.6214643652561247,0.6304926812877241
n.tot,KSSL.SSL,19806,0.1,C2_k25,0.9345717756630897,3.0705384150222423
n.tot,KSSL.SSL,19806,0.1,C4t_k25,0.936591415266248,2.5396113734968027
n.tot,KSSL.SSL,19806,0.1,C3n_k25,0.9033483498683944,1.6097527480525504
n.tot,KSSL.SSL,19806,0.1,C2_k50,0.9087644259971654,2.62349726840551
n.tot,KSSL.SSL,19806,0.1,C4t_k50,0.9188246608625228,2.0969890866179126
n.tot,KSSL.SSL,19806,0.1,C3n_k50,0.892503543227374,1.4883027610042758
n.tot,KSSL.SSL,19806,0.05,C0,0.7030851386920428,0.79951664342224
n.tot,KSSL.SSL,19806,0.05,C0n,0.7023714314638592,0.6982892528132092
n.tot,KSSL.SSL,19806,0.05,C4,0.7488484511034622,0.9213927793139121
n.tot,KSSL.SSL,19806,0.05,C2_k25,0.9659698319497872,4.502033052791846
n.tot,KSSL.SSL,19806,0.05,C4t_k25,0.9659546466896133,2.843056756129678
n.tot,KSSL.SSL,19806,0.05,C3n_k25,0.9546492204899776,2.2575873599817413
n.tot,KSSL.SSL,19806,0.05,C2_k50,0.9611004251872849,3.8858212143504316
n.tot,KSSL.SSL,19806,0.05,C4t_k50,0.9607132010528447,2.61868655111019
n.tot,KSSL.SSL,19806,0.05,C3n_k50,0.9659318687993521,2.01695271908616
n.tot,LUCAS.WOODWELL.SSL,589,0.2,C0,0.7993506493506494,0.7127815225033749
n.tot,LUCAS.WOODWELL.SSL,589,0.2,C0n,0.7727272727272727,0.5453214312366468
n.tot,LUCAS.WOODWELL.SSL,589,0.2,C4,0.7640074211502783,0.5690460566762462
n.tot,LUCAS.WOODWELL.SSL,589,0.2,C2_k25,0.7999072356215213,0.7389585598850874
n.tot,LUCAS.WOODWELL.SSL,589,0.2,C4t_k25,0.8000927643784786,0.5900975459607234
n.tot,LUCAS.WOODWELL.SSL,589,0.2,C3n_k25,0.8037105751391467,0.6739158630010875
n.tot,LUCAS.WOODWELL.SSL,589,0.2,C2_k50,0.8006493506493506,0.7130475530877853
n.tot,LUCAS.WOODWELL.SSL,589,0.2,C4t_k50,0.803339517625232,0.6127727477395998
n.tot,LUCAS.WOODWELL.SSL,589,0.2,C3n_k50,0.8151205936920223,0.614867705292828
n.tot,LUCAS.WOODWELL.SSL,589,0.1,C0,0.9041743970315398,1.1259248644043118
n.tot,LUCAS.WOODWELL.SSL,589,0.1,C0n,0.8810760667903524,0.7356158616412956
n.tot,LUCAS.WOODWELL.SSL,589,0.1,C4,0.9066790352504638,1.0044592670909824
n.tot,LUCAS.WOODWELL.SSL,589,0.1,C2_k25,0.9175324675324676,1.259955988405727
n.tot,LUCAS.WOODWELL.SSL,589,0.1,C4t_k25,0.9266233766233766,1.083520735157765
n.tot,LUCAS.WOODWELL.SSL,589,0.1,C3n_k25,0.9231910946196662,0.931705914589084
n.tot,LUCAS.WOODWELL.SSL,589,0.1,C2_k50,0.8974953617810761,1.1851065420271967
n.tot,LUCAS.WOODWELL.SSL,589,0.1,C4t_k50,0.9020408163265305,1.0023640703984864
n.tot,LUCAS.WOODWELL.SSL,589,0.1,C3n_k50,0.90139146567718,0.8153701662140795
n.tot,LUCAS.WOODWELL.SSL,589,0.05,C0,0.9552875695732839,1.608208475301948
n.tot,LUCAS.WOODWELL.SSL,589,0.05,C0n,0.9467532467532468,0.9264669462045011
n.tot,LUCAS.WOODWELL.SSL,589,0.05,C4,0.9605751391465679,1.5214514961807883
n.tot,LUCAS.WOODWELL.SSL,589,0.05,C2_k25,0.9589053803339516,1.9808471341618414
n.tot,LUCAS.WOODWELL.SSL,589,0.05,C4t_k25,0.9558441558441559,1.64458206378106
n.tot,LUCAS.WOODWELL.SSL,589,0.05,C3n_k25,0.9678107606679035,1.1840047923741572
n.tot,LUCAS.WOODWELL.SSL,589,0.05,C2_k50,0.9576066790352507,1.6687725375158093
n.tot,LUCAS.WOODWELL.SSL,589,0.05,C4t_k50,0.9608534322820036,1.634572342188179
n.tot,LUCAS.WOODWELL.SSL,589,0.05,C3n_k50,0.9638218923933211,1.1196300341456031
ph.h2o,LUCAS.SSL,40175,0.2,C0,0.7172947040498443,1.3536538746966171
ph.h2o,LUCAS.SSL,40175,0.2,C0n,0.7263102803738317,1.4389541820222302
